Name,Score,Health,Time,Exp,Level,Distance,Map
DAWDWA,5,0,Mon Jun  7 11:01:34 2021,9,3.169925001442313,947,0
,3,0,Mon Jun  7 11:02:58 2021,23,4.523561956057014,440,2
dwa,1,0,Mon Jun  7 11:04:01 2021,267,8.060695931687555,257,2
dwa,0,0,Mon Jun  7 11:04:35 2021,283,8.144658242831884,219,0
daw,2,30,Mon Jun  7 11:06:20 2021,2,1.0,358,0
dwa,0,60,Mon Jun  7 11:10:08 2021,283,8.144658242831884,248,0
wda,0,60,Mon Jun  7 11:10:37 2021,0,0.0,192,0
dwa,2,30,Mon Jun  7 11:10:54 2021,285,8.154818109052105,332,0
,5,0,Mon Jun  7 11:13:36 2021,31,4.954196310386876,479,2
dwa,3,0,Mon Jun  7 11:18:21 2021,297,8.214319120800766,891,0
